FullName,Age,Height,Weight,Overall,Potential,Growth,TotalStats,BaseStats,BestPosition,Club,IntReputation,WeakFoot,SkillMoves,AttackingWorkRate,DefensiveWorkRate,PaceTotal,ShootingTotal,PassingTotal,DribblingTotal,DefendingTotal,PhysicalityTotal,Crossing,Finishing,HeadingAccuracy,ShortPassing,Volleys,Dribbling,Curve,FKAccuracy,LongPassing,BallControl,Acceleration,SprintSpeed,Agility,Reactions,Balance,ShotPower,Jumping,Stamina,Strength,LongShots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Marking,StandingTackle,SlidingTackle,GKDiving,GKHandling,GKKicking,GKPositioning,GKReflexes,STRating,LWRating,LFRating,CFRating,RFRating,RWRating,CAMRating,LMRating,CMRating,RMRating,LWBRating,CDMRating,RWBRating,LBRating,CBRating,RBRating,GKRating,Top_5_league
Paulo Dybala,28,177,75,86,86,0,2108,439,0,Roma,3,3,4,0,1,80,85,85,90,40,59,82,83,58,86,88,90,89,88,79,93,84,76,88,79,90,84,74,68,60,89,43,42,82,91,84,79,32,41,39,5,4,4,5,8,84,86,85,85,85,86,86,86,84,86,68,66,68,64,54,64,17,1
Thiago Emiliano da Silva,37,183,79,86,86,0,2012,411,1,Chelsea,4,3,2,2,0,49,54,73,72,87,76,60,40,82,81,61,67,62,61,82,79,45,52,62,83,66,71,88,66,80,65,76,89,59,71,60,86,89,86,84,9,12,5,9,10,68,65,66,66,66,65,72,70,79,70,78,85,78,80,86,80,21,1
Bruno Miguel Borges Fernandes,27,179,69,86,86,0,2305,470,0,Manchester United,3,3,4,0,0,72,86,88,81,67,76,85,83,64,88,87,79,87,85,88,84,75,69,78,91,79,88,71,92,66,88,80,64,86,91,90,79,66,73,65,12,14,15,8,14,84,83,84,84,84,83,86,86,86,86,81,82,81,79,74,79,24,1
Daniel Parejo Muñoz,33,182,74,86,86,0,2162,442,4,Villarreal CF,2,4,3,2,2,50,83,90,80,71,68,86,83,61,92,72,81,88,90,90,86,52,49,63,79,72,81,49,76,70,88,58,80,81,90,88,85,70,70,69,5,9,12,14,8,79,80,80,80,80,80,85,82,86,82,78,81,78,76,73,76,19,1
Aymeric Laporte,28,191,85,86,87,1,1962,417,1,Manchester City,3,3,2,2,2,61,50,72,69,86,79,58,45,84,83,40,63,61,69,81,78,55,65,57,87,55,68,80,67,84,47,81,87,54,65,44,84,86,87,86,10,11,5,14,5,69,64,66,66,66,64,71,70,77,70,80,85,80,81,87,81,21,1
Kingsley Coman,26,179,75,86,87,1,1979,426,6,FC Bayern München,4,3,5,2,2,92,77,79,87,30,61,81,76,61,80,78,88,83,70,74,87,94,90,92,86,84,83,73,69,66,73,35,23,84,81,70,78,29,27,21,5,3,5,3,5,83,84,84,84,84,84,86,87,78,87,63,58,63,59,48,59,16,1
Marcelo Brozović,29,181,68,86,86,0,2227,464,2,Inter,3,4,3,2,2,69,74,81,81,81,78,73,69,70,85,65,79,79,74,84,84,70,68,79,83,84,80,70,94,68,84,86,84,67,83,69,82,80,84,82,8,8,15,11,8,77,77,77,77,77,77,83,81,86,81,84,86,84,84,83,84,20,1
Nicolò Barella,25,172,68,86,89,3,2296,480,4,Inter,3,3,3,0,0,79,76,83,84,77,81,79,73,53,86,80,80,79,67,85,87,80,78,90,88,90,77,78,94,73,79,84,83,81,86,73,86,79,79,81,11,5,13,14,11,80,82,81,81,81,82,86,86,88,86,86,87,86,85,81,85,22,1
Lautaro Martínez,24,174,72,86,90,4,2163,455,13,Inter,3,4,4,0,2,83,83,72,85,48,84,58,88,84,76,90,84,78,54,73,86,86,80,86,89,89,80,89,80,84,76,90,45,86,80,74,86,55,31,44,11,8,8,8,13,88,82,84,84,84,82,85,83,79,83,68,69,68,66,65,66,22,1
Milan Škriniar,27,188,80,86,87,1,1861,419,1,Inter,3,3,2,1,0,78,41,57,69,88,86,40,42,81,72,40,67,34,30,73,72,75,81,54,86,56,50,85,81,89,30,87,86,30,46,56,87,91,90,82,10,13,12,8,12,63,59,60,60,60,59,64,66,70,66,79,83,79,82,87,82,22,1
Christopher Nkunku,24,175,73,86,89,3,2196,471,0,RB Leipzig,3,3,5,0,2,88,81,83,88,65,66,81,86,61,85,70,89,82,80,80,88,87,89,88,85,90,79,59,78,64,78,59,67,86,85,67,81,62,69,59,5,6,10,15,7,85,86,85,85,85,86,89,89,86,89,80,77,80,77,70,77,20,1
Vinícius José de Oliveira Júnior,21,176,73,86,92,6,1985,434,7,Real Madrid CF,2,4,5,0,2,95,79,74,90,29,67,72,84,50,75,72,92,77,62,73,89,95,95,94,82,83,76,75,84,62,76,58,26,82,75,65,79,32,25,18,5,7,7,7,10,81,85,84,84,84,85,85,86,77,86,63,58,63,58,47,58,17,1
Sergej Milinković-Savić,27,191,76,86,87,1,2250,477,4,Lazio,3,5,4,0,2,68,80,82,82,79,86,71,82,86,86,74,85,81,78,86,87,66,70,62,84,63,83,87,91,87,81,79,79,82,83,59,84,78,79,74,7,10,7,16,7,85,80,82,82,82,80,86,84,87,84,83,86,83,82,84,82,21,1
Niklas Süle,26,195,99,85,87,2,1839,412,1,Borussia Dortmund,3,3,3,2,2,71,48,66,59,85,83,48,30,84,79,46,57,33,38,77,64,60,80,34,82,44,78,60,65,94,62,86,81,42,66,32,82,83,89,87,15,7,14,7,15,65,58,61,61,61,58,66,65,73,65,77,82,77,79,87,79,22,1
Nabil Fekir,28,173,75,85,85,0,2126,452,0,Real Betis Balompié,3,4,4,0,2,83,82,82,87,38,80,81,83,49,83,77,89,83,79,77,86,88,79,85,81,91,84,64,80,81,83,79,34,82,87,74,89,34,42,30,15,9,8,14,15,83,84,84,84,84,84,85,85,82,85,67,66,67,63,56,63,23,1
Serge Gnabry,26,176,77,85,85,0,2058,442,10,FC Bayern München,4,4,4,0,2,82,84,79,85,43,69,78,86,42,82,83,87,74,62,75,82,85,79,85,82,88,87,55,76,69,82,63,38,86,82,68,82,45,44,43,14,10,10,9,7,82,83,83,83,83,83,85,85,80,85,69,66,69,65,56,65,21,1
İlkay Gündoğan,31,180,80,85,85,0,2195,458,4,Manchester City,3,4,4,0,2,64,80,85,85,72,72,78,81,50,88,75,85,86,80,85,90,66,63,77,86,77,79,61,74,73,81,70,75,83,86,80,87,76,75,67,11,14,5,5,13,81,82,82,82,82,82,85,85,85,85,80,83,80,78,75,78,22,1
Kyle Walker,32,183,83,85,85,0,2196,471,9,Manchester City,3,2,3,0,0,91,63,77,78,80,82,77,51,74,80,57,79,76,71,81,81,87,94,66,85,69,86,83,86,80,69,84,80,68,69,63,75,76,84,83,12,6,16,15,8,77,76,76,76,76,76,78,81,81,81,85,84,85,85,84,85,22,1
Pierre-Emerick Aubameyang,33,187,80,85,85,0,2028,428,13,Chelsea,3,4,4,0,1,87,84,74,79,36,68,72,87,76,78,82,78,80,76,64,81,85,89,77,84,67,82,75,74,74,79,43,48,88,74,82,83,20,29,36,6,9,15,9,9,85,81,82,82,82,81,83,83,76,83,65,61,65,62,54,62,20,1
Jordi Alba Ramos,33,170,68,85,85,0,2218,465,5,FC Barcelona,3,3,3,0,2,84,70,82,82,77,70,86,73,70,86,75,79,82,63,81,84,86,83,87,79,84,64,80,83,61,66,75,80,83,78,59,80,74,78,79,13,15,13,6,13,79,81,79,79,79,81,84,85,84,85,85,83,85,84,79,84,22,1
Sergio Busquets Burgos,33,189,76,85,85,0,2002,417,2,FC Barcelona,4,3,3,2,2,42,62,79,79,82,73,62,67,68,87,50,80,66,68,85,85,40,43,66,81,50,61,66,75,70,54,79,84,76,83,60,90,83,83,82,5,8,13,9,13,73,72,74,74,74,72,80,77,85,77,79,85,79,78,82,78,20,1
Iago Aspas Juncal,34,176,67,85,85,0,2069,430,13,RC Celta de Vigo,2,4,3,0,0,82,85,79,86,35,63,80,90,76,79,84,87,79,83,73,86,78,85,87,84,72,79,66,70,60,80,63,39,86,81,82,85,39,21,18,12,16,9,12,13,85,84,84,84,84,84,85,84,78,84,63,60,63,59,51,59,23,1
Paul Pogba,29,191,84,85,85,0,2170,459,4,Juventus,4,4,5,2,1,67,80,85,85,62,80,73,74,74,87,84,89,85,82,92,87,60,72,71,77,65,90,80,65,88,84,79,62,77,90,80,85,53,67,63,5,6,2,4,3,83,80,82,82,82,80,85,83,85,83,74,78,74,72,73,72,15,1
Memphis Depay,28,176,78,85,85,0,2089,444,3,FC Barcelona,4,3,5,0,1,83,84,82,86,30,79,84,84,65,81,75,87,85,83,76,87,82,84,80,84,81,87,69,79,83,83,72,28,85,85,76,80,23,31,20,8,14,6,12,10,85,84,84,84,84,84,85,85,80,85,64,62,64,59,52,59,22,1
Luiz Frello Filho Jorge,30,180,68,85,85,0,2128,434,4,Chelsea,2,3,3,2,2,54,67,86,81,73,73,75,64,56,92,71,79,75,76,89,87,63,47,75,82,72,71,58,87,66,62,79,81,69,88,89,84,67,81,71,14,7,13,14,8,72,75,75,75,75,75,82,80,85,80,80,84,80,77,75,77,21,1
Marcos Acuña,30,172,69,85,85,0,2303,483,5,Sevilla FC,2,3,3,0,0,76,74,83,87,80,83,87,66,60,84,68,87,88,75,78,88,77,76,83,84,90,82,63,91,80,81,84,80,81,82,76,87,81,85,84,8,14,13,13,14,79,82,81,81,81,82,84,85,85,85,85,85,85,85,82,85,22,1
Gerard Moreno Balagueró,30,180,77,85,85,0,2109,442,13,Villarreal CF,2,4,3,0,2,78,86,77,83,46,72,77,89,82,79,81,85,77,62,75,84,78,78,77,85,72,83,79,77,74,82,61,42,85,78,85,80,44,41,41,15,12,7,12,10,85,82,83,83,83,82,84,83,79,83,67,65,67,65,60,65,22,1
Yannick Carrasco,28,181,73,85,85,0,2153,458,6,Atlético de Madrid,3,4,4,0,0,89,82,80,87,53,67,81,81,53,80,74,90,87,80,74,86,89,89,87,81,71,85,71,79,61,82,65,47,82,80,81,84,44,64,60,9,11,9,10,10,82,84,83,83,83,84,85,85,82,85,75,71,75,72,64,72,21,1
Filip Kostić,29,184,84,85,85,0,2234,474,6,Juventus,3,2,3,0,0,84,78,82,82,68,80,92,76,59,80,75,84,83,80,77,82,87,82,76,82,79,86,67,90,77,78,80,63,79,81,66,82,69,72,68,13,14,12,12,13,81,82,81,81,81,82,84,85,83,85,82,79,82,79,74,79,24,1
Jamie Vardy,35,179,74,85,85,0,2118,441,13,Leicester City,3,4,3,0,2,84,84,70,79,52,72,69,90,78,74,85,76,69,61,60,83,85,84,74,88,75,87,80,73,65,65,86,49,90,74,85,86,45,52,54,15,14,7,15,11,85,80,82,82,82,80,82,82,76,82,70,68,70,69,66,69,25,1
Pedro González López,19,174,61,85,93,8,2109,455,4,FC Barcelona,2,4,4,0,0,79,67,81,87,68,73,68,68,50,87,56,87,79,62,85,88,82,76,88,85,90,66,65,88,70,67,62,72,77,88,53,87,68,73,63,12,7,11,8,8,76,81,80,80,80,81,85,84,86,84,79,80,79,77,72,77,19,1
Phil Foden,22,171,69,85,92,7,2083,445,0,Manchester City,3,3,4,0,0,82,78,81,88,56,60,76,79,47,85,59,87,73,68,81,91,86,78,91,83,91,82,49,83,47,77,64,59,82,85,64,84,58,59,47,8,15,6,10,13,80,84,83,83,83,84,88,87,85,87,75,74,75,72,62,72,22,1
Matthijs de Ligt,22,189,89,85,89,4,1982,435,1,FC Bayern München,3,3,2,2,0,75,59,61,69,84,87,52,50,85,75,45,65,48,55,67,73,69,79,60,84,62,82,93,75,93,66,83,81,44,45,40,82,84,86,85,12,11,11,12,10,71,64,65,65,65,64,67,68,71,68,79,81,79,81,87,81,22,1
Patrik Schick,26,191,86,85,87,2,1999,427,13,Bayer 04 Leverkusen,3,3,4,0,2,78,83,71,83,36,76,64,87,86,78,80,83,78,56,64,85,74,82,83,82,67,82,75,69,83,80,65,25,86,74,67,84,44,24,19,11,15,8,9,14,87,80,82,82,82,80,83,81,75,81,60,60,60,57,55,57,23,1
Theo Hernández,24,184,81,85,90,5,2195,483,8,AC Milan,3,3,3,0,2,93,72,76,81,78,83,84,69,74,79,66,83,69,64,68,79,92,94,78,85,76,83,68,90,81,72,82,78,80,73,50,80,74,81,80,12,10,7,7,7,82,81,80,80,80,81,82,84,81,84,86,82,86,85,82,85,20,1
Diogo José Teixeira da Silva,25,178,73,85,89,4,2183,462,13,Liverpool,2,5,4,0,0,85,83,75,85,57,77,73,86,84,77,79,85,77,58,72,84,88,82,86,87,85,85,81,83,71,75,85,56,89,77,69,80,53,57,45,7,12,15,9,11,86,83,84,84,84,83,84,84,80,84,72,71,72,70,68,70,21,1
Marco Reus,33,180,71,85,85,0,2154,441,0,Borussia Dortmund,4,4,4,0,2,70,84,84,85,53,65,84,84,44,85,87,86,88,85,79,86,75,66,83,86,81,86,68,72,66,81,51,56,84,86,79,86,59,47,59,12,12,13,13,11,82,83,83,83,83,83,85,85,83,85,74,72,74,70,62,70,23,1
Lucas Hernández,26,184,79,84,86,2,2014,436,1,FC Bayern München,3,2,2,2,2,77,54,70,71,84,80,78,53,82,77,46,65,59,39,63,76,77,77,70,85,72,62,86,76,78,51,90,83,62,63,42,77,85,85,83,10,7,8,14,10,71,70,68,68,68,70,72,74,74,74,83,82,83,84,86,84,21,1
Sergio Ramos García,36,184,82,84,84,0,2137,433,1,Paris Saint-Germain,4,3,3,0,2,61,69,73,70,83,77,63,65,88,78,69,63,72,75,80,78,66,56,66,85,65,79,91,56,81,64,90,84,69,71,90,86,82,82,83,11,8,9,7,11,76,69,71,71,71,69,75,73,78,73,77,83,77,79,84,79,21,1
Alejandro Gómez,34,167,68,84,84,0,2035,425,0,Sevilla FC,3,4,4,0,2,86,78,83,85,39,54,83,77,38,83,72,84,85,79,78,85,90,83,91,80,93,79,67,71,44,82,56,40,78,85,72,85,50,30,34,8,11,12,9,6,77,83,81,81,81,83,84,84,80,84,68,64,68,63,51,63,20,1
Dries Mertens,35,169,61,84,84,0,1980,410,3,Galatasaray SK,3,4,4,0,1,78,82,80,87,34,49,73,84,40,84,70,88,82,82,72,88,82,74,85,80,92,80,58,65,37,82,59,36,82,84,79,81,23,40,40,7,10,8,10,4,79,83,83,83,83,83,84,84,80,84,65,62,65,60,48,60,19,0
Luis Suárez,35,182,86,84,84,0,2231,439,13,Club Nacional de Football,4,4,3,0,2,70,86,78,78,46,81,75,87,84,78,88,76,85,81,73,81,73,68,70,86,77,86,69,71,84,84,87,39,90,80,82,86,41,45,38,27,25,31,33,37,84,80,82,82,82,80,83,81,79,81,66,67,66,63,63,63,40,0
